idx,link_to_full_description,title,contributor_country,short_description,image,location-1-lat,location-1-lng,location-2-lat,location-2-lng,location-3-lat,location-3-lng,location-4-lat,location-4-lng,sdgs-tag-1,sdgs-tag-2,sdgs-tag-3,sdgs-tag-4,sdgs-tag-5,sdgs-tag-6,thematic_areas-tag-1,thematic_areas-tag-2,thematic_areas-tag-3,thematic_areas-tag-4,thematic_areas-tag-5,thematic_areas-tag-6
6258,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6258,Smart Showers,Mexico,"Students Jair García, Martín Terrazas Ortiz and Carlos Andrés Torres,  from the Universidad Autónoma Metropolitana (UAM) in collaboration with Código IoT, developed a prototype of a smart shower that aims to reduce water consumption. The students aim to change habits and encourage quick actions to be optimal. In this way, their project was born to analyze the interactions between individuals and non-renewable resources. In this sense, the smart shower was created. Its functions are to measure the flow of water and through the internet, the brightness of the bathroom lighting changes every 15L. In addition to that, it also has a temperature sensor that interacts with the type of light, either warm or cold, to indicate whether the temperature is harmful to the skin, and it also collects data with the intention of instantly know their consumption. (Source: https://www.codigoiot.com/proyecto-iot-sector-servicio-publico-prototipo-desarrollado-por-alumnos-de-la-uam/) ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/96f8fa4f-dbf3-4310-9551-ff0c2e86a5ed/fc1e7c083c2041a0f517c20d9812c556.png,19.4326296,-99.1331785,,,,,,,Responsible consumption and production,Climate action,,,,,technology,water,water saving,water consumption,,
6251,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6251,"Hydroloop, saving water by recirculation",Mexico,"The Hydro Loop is a hot water recirculation device designed to save water that is normally wasted waiting for hot water to arrive in the shower.

Instead of disposing of it, redirect the water back to the heater. With minimal investment, this device provides instant hot water at the push of a button, without wasting time. Now you can enjoy hot water immediately, keeping the same time you used to spend waiting. Unlike expensive home recirculation systems, which can be expensive in new construction and require large pumps that run constantly, the Hydro Loop minimizes electricity and gas costs. This makes having hot water available more accessible.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/a1805503-b340-4e77-8c4a-49f4deed490f/4b1ae4522a0cd421c386e724700934ad.png,20.5954708,-100.397059,,,,,,,Clean water and sanitation,Affordable and clean energy,Sustainable cities and communities,,,,water consumption,energy efficiency,water saving,reduced waste water,,
6225,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6225,Women's participation in water management for the household consumption,Guatemala,"Solution: Formation of the COCODE as a tool to face the problem of water scarcity in the community and The community well is built, which has a system that supplies 465 jets for each house and 5 extra jets which are for communal use and are located in public areas.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/cc02f7c3bdaaca27fd65f1e704806c16.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Responsible consumption and production,Good health and well-being,Sustainable cities and communities,,,water conservation,women empowerment,clean water,water supply,womenempowerment,
6223,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6223,Friends of the Ixtacapa River Association for water resource management,Guatemala,"Solution: It began by consolidating the Association in a legal manner, establishing the statutes and developing a strategic plan for action and then identified the need to protect the upper part of the forest, so technical and economic support was provided to the communities of this region.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/b9a09846bbd90165e7f5237c973a7706.png,14.6222328,-90.5185188,15.5855545,-90.345759,,,,,Responsible consumption and production,Life on land,Partnerships for the goals,Clean water and sanitation,Climate action,,forest conservation,community organizing,governance,water conservation,,
6222,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6222,Forest conservation as a key element in water governance,Guatemala,"Solution: A society was established where the tasks of caring for the forest could be distributed, inculcating activities such as: thinning, cleaning, sustainable logging, reforestation, maintenance of the greenhouse, among others. This with the aim of increasing water collection and quality.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/1a63c4ec1cfc947ad374ffabbdd8d354.png,15.5855545,-90.345759,,,,,,,Climate action,Life below water,Life on land,Responsible consumption and production,,,forest conservation,community involvement,governance,water conservation,,
6219,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6219,"Omarcito, educational character for young people",Guatemala,"Description: Omarsito is a character who promotes the participation of citizens for the care of water and sanitation, including the classification of waste and solid waste.

Interesting feature: The character is excellent at communicating the message of caring for water bodies and the environment in general through solid waste sorting.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/a84395fdb29e3c631fe933db44069572.png,15.5855545,-90.345759,,,,,,,Partnerships for the goals,Sustainable cities and communities,Responsible consumption and production,,,,water,education,recycling,solid waste management,,
6210,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6210,Artificial Wetlands,Guatemala,It works through the use of plants with the ability to absorb organic matter and other compounds that we want to remove from wastewater.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/2a0050284e00467e4bcb03941eb01125.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,,clean water,technology,sanitation,grey water,,
6209,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6209,Membrane Bioreactor,Guatemala,"Air is pumped to transfer oxygen to the greywater. The bacteria present consume the dissolved oxygen and digest the organic pollutants, reducing these pollutants.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/baf21f8b3717ecd2e3900eafdd531e28.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,,technology,sanitation,clean water,grey water,,
6208,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6208,Biological Aerobic Treatment,Guatemala,"Air is pumped to transfer oxygen to the greywater. The bacteria present consume the dissolved oxygen and digest the organic pollutants, reducing these pollutants.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/441f63cef01bfd2a32e71ef6e201a580.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,,clean water,grey water,reuse water,,,
6207,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6207,Sand Filter,Guatemala,Beds of sand or in some cases thick bark or covering that traps and absorbs contaminants when greywater flows through them.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/011fd8e989fb86dc7e31c2598d8bd7a5.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,,clean water,water supply,grey water,,,
6206,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6206,Activated Carbon Filter,Guatemala,This system is based on the millions of micropores in the carbon that trap the polluting matter. These filters are widely used to absorb substances.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/e3168ff824fab4c1cd9c19a2d63a93e0.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,,carbon,clean water,water supply,,,
6205,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6205,Disinfection with chlorine,Guatemala,"It can be used in different presentations, depending on the amount of water to be treated and its quality.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/fae90c32b285bed737f85b2355aa1363.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,,grey water,technology,clean water,water supply,treatment,
6203,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6203,Care and WFF Program,Guatemala,"Description: Community producers committed to reforest with native species in the areas previously dedicated to the planting of crops, in the middle and upper part of the basin, protect the forests located on municipal lands and promote the processes of natural regeneration. These conservation works will be carried out thanks to the payment of a fee from the municipality of Teculután.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/abd494452902bd85f02bb362347c867f.png,15.5855545,-90.345759,14.6222328,-90.5185188,,,,,Climate action,Partnerships for the goals,Clean water and sanitation,Life on land,,,community  involment,community involment,water conservation,forest conservation,basin,
6197,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6197,Water Fund,Guatemala,"Description: This system is based on annual contributions from users of water from the Sierra de Las Minas, with differentiated rates depending on the use of each actor. The actors that can be distinguished are large companies, farmers and private users from their homes. It is an excellent success story.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/d5b6e8af860007691a20f443921136eb.png,15.16667,-89.66667,,,,,,,Clean water and sanitation,Climate action,Life on land,Partnerships for the goals,,,forests,fund,community involment,water conservation,community  involment,
6181,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6181,Water Filtration and Reusable Containers,Guatemala,"Description: Company dedicated to the distribution of filtered water dispensers for businesses, accompanied by returnable glass containers for the sale of their products.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/3c1eca9cddbc264ed8a88767f25d74a0.png,14.6222328,-90.5185188,,,,,,,Sustainable cities and communities,Responsible consumption and production,Partnerships for the goals,,,,ecological,water supply,reusable,,,
6175,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6175,Home Fog Collectors,Guatemala,Description: This system is a homemade method for capturing small amounts of water in private homes. It can be used to learn about the feasibility of implementing large-scale fog collection systems.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/9b8922208b1635899981a14dd8827be7.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,,clean water,water supply,climate action,,,
6174,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6174,Fog collectors,Guatemala,"Description: This catchment system seeks to help supply the water needs of the Alto Veladero community, as unfortunately their surface water is mostly polluted. Through Aqualonis technology, the community has the capacity to harvest rainwater in a sustainable way.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/6cc45d734eae89192a29b4908bcab2df.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,,clean water,water mobilization,fog harvesting,,,
6171,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6171,Limonene Water Filter,Jordan, Innovative water filter made from citrus peels.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/c389e6ee-a226-4636-8a98-9e543f9130f6/8e9f80039173fe620a13145a7b115a3b.png,31.8578602,36.8598324,,,,,,,Climate action,Responsible consumption and production,,,,,product,nature-based solutions,water,,,
6161,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6161,100 wash solutions,Egypt,"100 WASH Solutions is a social enterprise that builds the youth capacities in order to build up youth-led sustainable WASH solutions in Egypt and the MENA region.

They innovate prefabricated water, sanitation, and hygiene solutions for poor and rural communities. These solutions are low-cost, tailor-based, scalable, easy to setup, simple to operate, and generate income to the beneficiaries.

https://www.facebook.com/100WashSolutionsOfficial/

https://100washsolutions.wordpress.com/",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/4a3b11cb-980f-46b2-9a28-f5fb4833806e/ff7f9e508d879666d35a50ed8ff728f5.png,30.0443879,31.2357257,,,,,,,"Industry, innovation and infrastructure",Clean water and sanitation,Responsible consumption and production,,,,sanitation,rural development,waste water management,,,
6156,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6156,Eco Youth Group,Jordan,"Eco Youth Jordan is the first environmental community group in Jordan led by women from Jordan and has recently grown to include females from Canada and China. It was established in the rural city of Ajloun where environmental awareness was close to non-existent. We aspired to change this statement across the country by creating a team, that consists of females who share a passion for protecting our fragile planet, and who strive to be the voice of women in the fields of agriculture and water. ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/c389e6ee-a226-4636-8a98-9e543f9130f6/abd7acffebaa1345ea93cd006658db9c.png,32.3137515,35.6961467,,,,,,,Climate action,,,,,,agriculture,water,youth,youth activism,,
6142,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6142,Moringa for Sewage Water and Clean Energy,Egypt,"Although water makes up to 71% of the Earth’s surface, only 0.5% is fresh. Fresh water resources are getting exhausted at an exponential rate due to environmental changes, as well as the lack of sustainable planning. This project addresses three of the United Nations Sustainable Development Goals (UN SDGs); Clean Water and Sanitation (SDG 6), Affordable and Clean Energy (SDG 7), and Zero Hunger (SDG 2). People living in small towns or villages with no access to central services, will be the main beneficiaries of this project. The project is about developing a decentralized sewage unit for sewage purification for agricultural uses; the products are methane gas that serves as a source of energy, and agriculture fertilizers and water. The sewage bulk is filtered through a net, aerated, mixed with grinded moringa seed, and finally charcoal to remove color, taste, and odor. Moringa Oleifera (MO) is widely cultivated in Egypt; its seeds contain 35–40% oil, with potent antimicrobial activity as well as effective coagulant and heavy metal removal properties. The COD, BOD, TDS, and other bacterial count tests are carried out to ensure the suitability of the produced water for agriculture. Therefore, MO can be considered a natural and cheap alternative for chlorine and aluminum sulfate. Through this project, the sewage water treatment unit could be cost-effective and eco-friendly by sustaining the fresh drinking water and increasing the availability of agricultural water and natural safe fertilizers. This eventually leads to increasing crops production and supports the country’s economy.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/4a3b11cb-980f-46b2-9a28-f5fb4833806e/d114ff7850703bcf38148a411e58badc.png,31.1991806,29.8951716,,,,,,,Clean water and sanitation,Affordable and clean energy,Responsible consumption and production,,,,waste water management,waste to energy,,,,
6130,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6130,Fog collection prototype,Guatemala,Description: This fog collection system was built as a prototype with the aim of testing the effectiveness of different fabrics for fog collection in rural areas of Colombia. The most positive result was obtained by the raschel mesh.  ,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/6491b2cae6ee35ecf9eeb755527cd66c.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Climate action,,,,clean water,water harvesting,fog,,,
